"student_id","ma_mon","ma_lop_hoc_phan","loai_hoc_phan","diem_thong_thuong","diem_giua_ky","diem_thuc_hanh_hien_tai","diem_thuc_hanh_tich_hop","diem_thuong_ky_lt_list","diem_giua_ky_lt"
"SV1025","INT1001","L01","tich_hop","","","","8.3","1.01,4.64","1.01"
"SV1025","INT1002","L01","ly_thuyet","7.28,7.28","7.28","","","",""
"SV1025","INT1003","L01","tich_hop","","","","9.2","1.08,8.34","1.08"
"SV1026","GDQP102","L01","ly_thuyet","4.09,4.09","4.09","","","",""
"SV1026","INT1002","L01","ly_thuyet","5.07,5.07","5.07","","","",""
"SV1026","INT1003","L01","tich_hop","","","","9.09","8.63,6.18","8.63"
"SV1027","GDTC101","L01","thuc_hanh","","","4.45,7.44,4.45","","",""
"SV1027","INT1002","L01","ly_thuyet","7.01,7.01","7.01","","","",""
"SV1027","INT1003","L01","tich_hop","","","","7.61","8.52,5.19","8.52"
"SV1027","INT1001","L01","tich_hop","","","","5.84","8.97,6.1","8.97"
"SV1028","GDQP102","L01","ly_thuyet","1.75,1.75","1.75","","","",""
"SV1028","GDTC101","L01","thuc_hanh","","","3.65,3.64,3.65","","",""
"SV1028","INT1003","L01","tich_hop","","","","2.99","3.47,6.49","3.47"
"SV1029","INT1001","L01","tich_hop","","","","7.73","1.35,7.72","1.35"
"SV1029","INT1002","L01","ly_thuyet","2.71,2.71","2.71","","","",""
"SV1030","INT1003","L01","tich_hop","","","","8.73","6.01,9.4","6.01"
"SV1030","INT1001","L01","tich_hop","","","","8.66","4.08,7.6","4.08"
"SV1030","INT1002","L01","ly_thuyet","8.11,8.11","8.11","","","",""
"SV1030","GDQP102","L01","ly_thuyet","8.45,8.45","8.45","","","",""
"SV1031","INT1003","L01","tich_hop","","","","4.64","2.84,3.13","2.84"
"SV1031","GDQP102","L01","ly_thuyet","8.05,8.05","8.05","","","",""
"SV1031","INT1001","L01","tich_hop","","","","7.5","5.31,7.88","5.31"
"SV1032","GDTC101","L01","thuc_hanh","","","2.67,0.82,2.67","","",""
"SV1032","INT1003","L01","tich_hop","","","","7.5","4.12,8.61","4.12"
"SV1032","INT1002","L01","ly_thuyet","0.14,0.14","0.14","","","",""
"SV1033","INT1001","L01","tich_hop","","","","6.52","4,6.85","4"
"SV1033","INT1002","L01","ly_thuyet","5.28,5.28","5.28","","","",""
"SV1033","INT1003","L01","tich_hop","","","","4.86","9.63,3.73","9.63"
"SV1034","GDTC101","L01","thuc_hanh","","","6.61,5.93,6.61","","",""
"SV1034","INT1002","L01","ly_thuyet","7.81,7.81","7.81","","","",""
"SV1034","INT1003","L01","tich_hop","","","","6.27","9.33,5.1","9.33"
"SV1035","INT1001","L01","tich_hop","","","","7.75","7.11,7.32","7.11"
"SV1035","GDQP102","L01","ly_thuyet","2.18,2.18","2.18","","","",""
"SV1036","INT1002","L01","ly_thuyet","6.58,6.58","6.58","","","",""
"SV1036","INT1001","L01","tich_hop","","","","2.48","9.53,2.92","9.53"
"SV1037","GDQP102","L01","ly_thuyet","3.34,3.34","3.34","","","",""
"SV1037","GDTC101","L01","thuc_hanh","","","5.92,0.28,5.92","","",""
"SV1037","INT1001","L01","tich_hop","","","","2.09","5.22,2.56","5.22"
"SV1037","INT1002","L01","ly_thuyet","8.45,8.45","8.45","","","",""
"SV1038","GDTC101","L01","thuc_hanh","","","7.69,4.45,7.69","","",""
"SV1038","INT1003","L01","tich_hop","","","","5.39","0.14,7.37","0.14"
"SV1038","GDQP102","L01","ly_thuyet","5.98,5.98","5.98","","","",""
"SV1039","GDTC101","L01","thuc_hanh","","","8.85,4.62,8.85","","",""
"SV1039","INT1002","L01","ly_thuyet","1.3,1.3","1.3","","","",""
"SV1039","GDQP102","L01","ly_thuyet","9.12,9.12","9.12","","","",""
"SV1039","INT1001","L01","tich_hop","","","","3.81","5.5,2.94","5.5"
"SV1040","INT1001","L01","tich_hop","","","","2.96","6.21,5.32","6.21"
"SV1040","GDTC101","L01","thuc_hanh","","","3.28,8.77,3.28","","",""
"SV1040","INT1002","L01","ly_thuyet","0.68,0.68","0.68","","","",""
"SV1041","INT1002","L01","ly_thuyet","5.13,5.13","5.13","","","",""
"SV1041","GDTC101","L01","thuc_hanh","","","5.98,0.53,5.98","","",""
"SV1041","GDQP102","L01","ly_thuyet","0.53,0.53","0.53","","","",""
"SV1041","INT1003","L01","tich_hop","","","","7.99","2.7,5.31","2.7"
"SV1042","GDTC101","L01","thuc_hanh","","","5.53,1.32,5.53","","",""
"SV1042","INT1002","L01","ly_thuyet","1.63,1.63","1.63","","","",""
"SV1043","GDQP102","L01","ly_thuyet","2.89,2.89","2.89","","","",""
"SV1043","GDTC101","L01","thuc_hanh","","","3.11,7.79,3.11","","",""
"SV1043","INT1003","L01","tich_hop","","","","9.89","3.08,6.07","3.08"
"SV1043","INT1002","L01","ly_thuyet","7.58,7.58","7.58","","","",""
"SV1044","INT1003","L01","tich_hop","","","","5.52","6.67,5.64","6.67"
"SV1044","GDQP102","L01","ly_thuyet","6.89,6.89","6.89","","","",""
"SV1044","GDTC101","L01","thuc_hanh","","","2.11,2.65,2.11","","",""
"SV1044","INT1002","L01","ly_thuyet","3.75,3.75","3.75","","","",""
"SV1045","GDQP102","L01","ly_thuyet","2.39,2.39","2.39","","","",""
"SV1045","INT1001","L01","tich_hop","","","","1.87","6.36,5.79","6.36"
"SV1046","INT1001","L01","tich_hop","","","","4.71","9.13,3.79","9.13"
"SV1046","GDQP102","L01","ly_thuyet","7.65,7.65","7.65","","","",""
"SV1047","INT1003","L01","tich_hop","","","","4.09","3.5,6.19","3.5"
"SV1047","GDTC101","L01","thuc_hanh","","","2.47,5.76,2.47","","",""
"SV1047","GDQP102","L01","ly_thuyet","7.66,7.66","7.66","","","",""
"SV1048","INT1001","L01","tich_hop","","","","4.95","6.02,3.12","6.02"
"SV1048","GDTC101","L01","thuc_hanh","","","6.6,2.25,6.6","","",""
"SV1048","INT1003","L01","tich_hop","","","","5.08","7.22,2.86","7.22"
"SV1049","GDQP102","L01","ly_thuyet","9.07,9.07","9.07","","","",""
"SV1049","INT1003","L01","tich_hop","","","","6.6","5.21,5.12","5.21"
"SV1049","INT1002","L01","ly_thuyet","2.97,2.97","2.97","","","",""
"SV1049","GDTC101","L01","thuc_hanh","","","6.95,4.18,6.95","","",""
"SV1050","INT1001","L01","tich_hop","","","","7.7","1.03,4.09","1.03"
"SV1050","INT1003","L01","tich_hop","","","","4.77","0.19,6.49","0.19"
"SV1051","GDTC101","L01","thuc_hanh","","","3.72,9.8,3.72","","",""
"SV1051","INT1002","L01","ly_thuyet","6.74,6.74","6.74","","","",""
"SV1052","INT1003","L01","tich_hop","","","","1.63","6.69,3.27","6.69"
"SV1052","INT1002","L01","ly_thuyet","2.92,2.92","2.92","","","",""
"SV1052","GDTC101","L01","thuc_hanh","","","9.38,8.82,9.38","","",""
"SV1053","INT1003","L01","tich_hop","","","","3.44","1.51,3.14","1.51"
"SV1053","GDTC101","L01","thuc_hanh","","","9.57,2.4,9.57","","",""
"SV1054","INT1001","L01","tich_hop","","","","1.05","5.23,6.73","5.23"
"SV1054","GDQP102","L01","ly_thuyet","6.61,6.61","6.61","","","",""
"SV1055","INT1002","L01","ly_thuyet","2.99,2.99","2.99","","","",""
"SV1055","INT1003","L01","tich_hop","","","","7.08","3.06,4.95","3.06"
"SV1055","GDQP102","L01","ly_thuyet","5.38,5.38","5.38","","","",""
"SV1055","GDTC101","L01","thuc_hanh","","","2.5,8.29,2.5","","",""
"SV1056","INT1002","L01","ly_thuyet","1.89,1.89","1.89","","","",""
"SV1056","INT1001","L01","tich_hop","","","","5.67","2.7,5.72","2.7"
"SV1056","GDQP102","L01","ly_thuyet","3.04,3.04","3.04","","","",""
"SV1056","INT1003","L01","tich_hop","","","","4.85","0.2,2.86","0.2"
"SV1057","INT1003","L01","tich_hop","","","","2.86","2.56,6.12","2.56"
"SV1057","INT1002","L01","ly_thuyet","8.36,8.36","8.36","","","",""
"SV1057","GDQP102","L01","ly_thuyet","0.01,0.01","0.01","","","",""
"SV1058","GDTC101","L01","thuc_hanh","","","5.45,2.34,5.45","","",""
"SV1058","GDQP102","L01","ly_thuyet","5.15,5.15","5.15","","","",""
"SV1058","INT1003","L01","tich_hop","","","","6.02","6.92,4.42","6.92"
"SV1059","GDQP102","L01","ly_thuyet","2.58,2.58","2.58","","","",""
"SV1059","INT1002","L01","ly_thuyet","7.09,7.09","7.09","","","",""
"SV1059","INT1001","L01","tich_hop","","","","9.39","3.94,6.23","3.94"
"SV1060","GDTC101","L01","thuc_hanh","","","6.97,6.7,6.97","","",""
"SV1060","INT1002","L01","ly_thuyet","9.58,9.58","9.58","","","",""
"SV1060","INT1001","L01","tich_hop","","","","1.81","6.08,5.92","6.08"
"SV1060","INT1003","L01","tich_hop","","","","8.68","1.43,8.19","1.43"
"SV1061","GDTC101","L01","thuc_hanh","","","4.94,9.4,4.94","","",""
"SV1061","INT1002","L01","ly_thuyet","8.16,8.16","8.16","","","",""
"SV1061","INT1003","L01","tich_hop","","","","4.47","6.09,6.82","6.09"
"SV1061","GDQP102","L01","ly_thuyet","0.24,0.24","0.24","","","",""
"SV1062","GDTC101","L01","thuc_hanh","","","8.45,2.6,8.45","","",""
"SV1062","INT1001","L01","tich_hop","","","","8.16","2.65,3.87","2.65"
"SV1062","INT1002","L01","ly_thuyet","3.64,3.64","3.64","","","",""
"SV1063","GDTC101","L01","thuc_hanh","","","1.95,9.6,1.95","","",""
"SV1063","INT1003","L01","tich_hop","","","","6.47","5.2,4.89","5.2"
"SV1063","GDQP102","L01","ly_thuyet","1.19,1.19","1.19","","","",""
"SV1063","INT1002","L01","ly_thuyet","8.77,8.77","8.77","","","",""
"SV1064","GDTC101","L01","thuc_hanh","","","1.3,6,1.3","","",""
"SV1064","INT1001","L01","tich_hop","","","","7.33","5.23,5.81","5.23"
"SV1065","INT1003","L01","tich_hop","","","","2.17","8.78,3.32","8.78"
"SV1065","GDTC101","L01","thuc_hanh","","","3.09,5.84,3.09","","",""
"SV1065","GDQP102","L01","ly_thuyet","1.18,1.18","1.18","","","",""
"SV1066","GDQP102","L01","ly_thuyet","1.7,1.7","1.7","","","",""
"SV1066","INT1001","L01","tich_hop","","","","4.97","7.62,6.82","7.62"
"SV1066","GDTC101","L01","thuc_hanh","","","3.8,7.15,3.8","","",""
"SV1067","GDQP102","L01","ly_thuyet","1.85,1.85","1.85","","","",""
"SV1067","INT1001","L01","tich_hop","","","","2.88","8.55,6.11","8.55"
"SV1067","INT1002","L01","ly_thuyet","6.79,6.79","6.79","","","",""
"SV1067","GDTC101","L01","thuc_hanh","","","2.41,6.22,2.41","","",""
"SV1068","INT1002","L01","ly_thuyet","7.64,7.64","7.64","","","",""
"SV1068","INT1003","L01","tich_hop","","","","6.84","5.17,4.27","5.17"
"SV1068","GDTC101","L01","thuc_hanh","","","6.43,2.2,6.43","","",""
"SV1069","INT1003","L01","tich_hop","","","","9.81","2.42,8.23","2.42"
"SV1069","INT1002","L01","ly_thuyet","2.72,2.72","2.72","","","",""
"SV1069","GDTC101","L01","thuc_hanh","","","4.26,6.29,4.26","","",""
"SV1069","INT1001","L01","tich_hop","","","","3.72","6.4,7.78","6.4"
"SV1070","INT1002","L01","ly_thuyet","0.23,0.23","0.23","","","",""
"SV1070","GDTC101","L01","thuc_hanh","","","5.35,0.12,5.35","","",""
"SV1071","GDQP102","L01","ly_thuyet","4.57,4.57","4.57","","","",""
"SV1071","INT1001","L01","tich_hop","","","","8.77","7.71,9.16","7.71"
"SV1072","INT1002","L01","ly_thuyet","9.31,9.31","9.31","","","",""
"SV1072","INT1001","L01","tich_hop","","","","8.98","5.74,5.21","5.74"
"SV1073","GDQP102","L01","ly_thuyet","9.96,9.96","9.96","","","",""
"SV1073","INT1002","L01","ly_thuyet","1.78,1.78","1.78","","","",""
"SV1073","GDTC101","L01","thuc_hanh","","","2.76,4.95,2.76","","",""
"SV1074","INT1002","L01","ly_thuyet","5.78,5.78","5.78","","","",""
"SV1074","GDQP102","L01","ly_thuyet","7.33,7.33","7.33","","","",""
"SV1074","INT1003","L01","tich_hop","","","","9.55","9.09,6.85","9.09"
"SV1075","GDTC101","L01","thuc_hanh","","","5.94,1.54,5.94","","",""
"SV1075","INT1002","L01","ly_thuyet","9.79,9.79","9.79","","","",""
"SV1075","GDQP102","L01","ly_thuyet","4.34,4.34","4.34","","","",""
"SV1075","INT1001","L01","tich_hop","","","","6.81","0.16,3.22","0.16"
"SV1076","INT1003","L01","tich_hop","","","","7.27","6.9,6.12","6.9"
"SV1076","INT1002","L01","ly_thuyet","9.19,9.19","9.19","","","",""
"SV1076","GDQP102","L01","ly_thuyet","2.3,2.3","2.3","","","",""
"SV1077","INT1003","L01","tich_hop","","","","2.11","9.14,3.84","9.14"
"SV1077","INT1002","L01","ly_thuyet","8.84,8.84","8.84","","","",""
"SV1078","INT1002","L01","ly_thuyet","5.48,5.48","5.48","","","",""
"SV1078","INT1003","L01","tich_hop","","","","4.91","7.27,6.92","7.27"
"SV1078","GDQP102","L01","ly_thuyet","8.72,8.72","8.72","","","",""
"SV1078","INT1001","L01","tich_hop","","","","8.68","6.98,4.09","6.98"
"SV1079","INT1002","L01","ly_thuyet","5.63,5.63","5.63","","","",""
"SV1079","INT1001","L01","tich_hop","","","","1.94","3.1,3.61","3.1"
"SV1079","GDQP102","L01","ly_thuyet","1.53,1.53","1.53","","","",""
"SV1080","INT1002","L01","ly_thuyet","2.31,2.31","2.31","","","",""
"SV1080","GDTC101","L01","thuc_hanh","","","3.06,3.82,3.06","","",""
"SV1080","INT1003","L01","tich_hop","","","","5.9","7.89,4.62","7.89"
"SV1080","INT1001","L01","tich_hop","","","","3.84","2.73,5.16","2.73"
"SV1081","GDQP102","L01","ly_thuyet","5.22,5.22","5.22","","","",""
"SV1081","GDTC101","L01","thuc_hanh","","","1.66,2.53,1.66","","",""
"SV1081","INT1002","L01","ly_thuyet","6.39,6.39","6.39","","","",""
"SV1082","INT1001","L01","tich_hop","","","","8.76","9.37,4.33","9.37"
"SV1082","GDQP102","L01","ly_thuyet","4.02,4.02","4.02","","","",""
"SV1083","INT1001","L01","tich_hop","","","","1.82","5.73,5.5","5.73"
"SV1083","GDQP102","L01","ly_thuyet","9.82,9.82","9.82","","","",""
"SV1083","GDTC101","L01","thuc_hanh","","","3.22,8.13,3.22","","",""
"SV1084","INT1003","L01","tich_hop","","","","7.24","6.06,4.22","6.06"
"SV1084","INT1002","L01","ly_thuyet","5.95,5.95","5.95","","","",""
"SV1084","GDTC101","L01","thuc_hanh","","","4.17,4.42,4.17","","",""
"SV1084","INT1001","L01","tich_hop","","","","4.58","7.77,5.07","7.77"
"SV1085","GDQP102","L01","ly_thuyet","4.51,4.51","4.51","","","",""
"SV1085","INT1002","L01","ly_thuyet","3.52,3.52","3.52","","","",""
"SV1086","GDTC101","L01","thuc_hanh","","","2.56,1.79,2.56","","",""
"SV1086","GDQP102","L01","ly_thuyet","1.97,1.97","1.97","","","",""
"SV1086","INT1001","L01","tich_hop","","","","6.89","3.92,5.65","3.92"
"SV1087","GDQP102","L01","ly_thuyet","6.77,6.77","6.77","","","",""
"SV1087","INT1002","L01","ly_thuyet","5.27,5.27","5.27","","","",""
"SV1087","INT1003","L01","tich_hop","","","","9.87","6.09,7.94","6.09"
"SV1087","INT1001","L01","tich_hop","","","","7.13","6.22,8.57","6.22"
"SV1088","INT1001","L01","tich_hop","","","","7.5","4.15,3.22","4.15"
"SV1088","INT1003","L01","tich_hop","","","","4.58","8,2.89","8"
"SV1088","GDTC101","L01","thuc_hanh","","","1.64,4.31,1.64","","",""
"SV1088","INT1002","L01","ly_thuyet","8.02,8.02","8.02","","","",""
"SV1089","GDQP102","L01","ly_thuyet","0.61,0.61","0.61","","","",""
"SV1089","INT1001","L01","tich_hop","","","","6.91","1.35,3.11","1.35"
"SV1089","INT1002","L01","ly_thuyet","8.05,8.05","8.05","","","",""
"SV1089","GDTC101","L01","thuc_hanh","","","9.62,3.64,9.62","","",""
"SV1090","GDTC101","L01","thuc_hanh","","","4.27,6.44,4.27","","",""
"SV1090","INT1001","L01","tich_hop","","","","1.35","2.55,2.32","2.55"
"SV1090","GDQP102","L01","ly_thuyet","9.84,9.84","9.84","","","",""
"SV1091","INT1002","L01","ly_thuyet","2.31,2.31","2.31","","","",""
"SV1091","GDTC101","L01","thuc_hanh","","","8.46,4.49,8.46","","",""
"SV1092","GDTC101","L01","thuc_hanh","","","3.9,0.43,3.9","","",""
"SV1092","INT1001","L01","tich_hop","","","","2.14","2.69,6.89","2.69"
"SV1093","GDQP102","L01","ly_thuyet","9.18,9.18","9.18","","","",""
"SV1093","GDTC101","L01","thuc_hanh","","","6.64,4.33,6.64","","",""
"SV1093","INT1001","L01","tich_hop","","","","2.32","7.11,5.11","7.11"
"SV1094","GDTC101","L01","thuc_hanh","","","5.68,3.8,5.68","","",""
"SV1094","INT1003","L01","tich_hop","","","","8.64","7.96,7.75","7.96"
"SV1094","INT1002","L01","ly_thuyet","5.64,5.64","5.64","","","",""
"SV1095","INT1003","L01","tich_hop","","","","5.14","3.15,3.3","3.15"
"SV1095","GDTC101","L01","thuc_hanh","","","1.9,1.93,1.9","","",""
"SV1095","GDQP102","L01","ly_thuyet","5.06,5.06","5.06","","","",""
"SV1095","INT1001","L01","tich_hop","","","","8.11","9.03,3.41","9.03"
"SV1096","GDTC101","L01","thuc_hanh","","","1.24,7.95,1.24","","",""
"SV1096","INT1001","L01","tich_hop","","","","9.4","7.26,6.51","7.26"
"SV1097","GDTC101","L01","thuc_hanh","","","3.06,4.01,3.06","","",""
"SV1097","INT1001","L01","tich_hop","","","","9.8","2.3,6.55","2.3"
"SV1098","INT1002","L01","ly_thuyet","8.7,8.7","8.7","","","",""
"SV1098","INT1001","L01","tich_hop","","","","7.67","5.36,8.97","5.36"
"SV1098","GDTC101","L01","thuc_hanh","","","8.97,2.96,8.97","","",""
"SV1098","GDQP102","L01","ly_thuyet","3.05,3.05","3.05","","","",""
"SV1099","INT1003","L01","tich_hop","","","","8.55","4.36,8.02","4.36"
"SV1099","GDQP102","L01","ly_thuyet","7,7","7","","","",""
"SV1100","INT1001","L01","tich_hop","","","","6.41","8.52,5.48","8.52"
"SV1100","GDQP102","L01","ly_thuyet","4.45,4.45","4.45","","","",""
"SV1101","GDQP102","L01","ly_thuyet","8.33,8.33","8.33","","","",""
"SV1101","INT1001","L01","tich_hop","","","","7.76","1.74,3.26","1.74"
"SV1101","INT1002","L01","ly_thuyet","9.79,9.79","9.79","","","",""
"SV1101","INT1003","L01","tich_hop","","","","1.64","4.56,6.24","4.56"
"SV1102","INT1003","L01","tich_hop","","","","6.53","8.32,6.51","8.32"
"SV1102","GDTC101","L01","thuc_hanh","","","5.24,4.02,5.24","","",""
"SV1102","GDQP102","L01","ly_thuyet","9.55,9.55","9.55","","","",""
"SV1103","INT1003","L01","tich_hop","","","","1.23","5.22,2.43","5.22"
"SV1103","INT1002","L01","ly_thuyet","0.41,0.41","0.41","","","",""
"SV1103","INT1001","L01","tich_hop","","","","4.78","0.56,7.54","0.56"
"SV1104","GDQP102","L01","ly_thuyet","6.14,6.14","6.14","","","",""
"SV1104","GDTC101","L01","thuc_hanh","","","5.44,7.34,5.44","","",""
"SV1104","INT1001","L01","tich_hop","","","","5.27","8.97,4.87","8.97"
"SV1105","INT1002","L01","ly_thuyet","6.55,6.55","6.55","","","",""
"SV1105","GDTC101","L01","thuc_hanh","","","8.98,3.44,8.98","","",""
"SV1105","INT1003","L01","tich_hop","","","","9.35","9.53,6.12","9.53"
"SV1106","INT1002","L01","ly_thuyet","5.55,5.55","5.55","","","",""
"SV1106","GDTC101","L01","thuc_hanh","","","4.54,8.77,4.54","","",""
"SV1107","INT1002","L01","ly_thuyet","8.32,8.32","8.32","","","",""
"SV1107","GDTC101","L01","thuc_hanh","","","7.57,6.52,7.57","","",""
"SV1107","INT1001","L01","tich_hop","","","","5.29","6.52,3.52","6.52"
"SV1107","INT1003","L01","tich_hop","","","","5.54","3.69,5.88","3.69"
"SV1108","GDQP102","L01","ly_thuyet","7.93,7.93","7.93","","","",""
"SV1108","INT1003","L01","tich_hop","","","","6.83","4.65,4","4.65"
"SV1109","INT1003","L01","tich_hop","","","","1.04","9.38,3.18","9.38"
"SV1109","GDQP102","L01","ly_thuyet","2.87,2.87","2.87","","","",""
"SV1109","INT1002","L01","ly_thuyet","7.15,7.15","7.15","","","",""
"SV1110","INT1002","L01","ly_thuyet","9.05,9.05","9.05","","","",""
"SV1110","INT1003","L01","tich_hop","","","","8.95","1.07,7.35","1.07"
"SV1110","GDQP102","L01","ly_thuyet","0.29,0.29","0.29","","","",""
"SV1111","GDQP102","L01","ly_thuyet","2.88,2.88","2.88","","","",""
"SV1111","INT1003","L01","tich_hop","","","","7.91","5.91,8.82","5.91"
"SV1112","INT1002","L01","ly_thuyet","3.43,3.43","3.43","","","",""
"SV1112","INT1001","L01","tich_hop","","","","5.56","6.1,7.03","6.1"
"SV1112","INT1003","L01","tich_hop","","","","8.57","4.42,7.15","4.42"
"SV1113","INT1001","L01","tich_hop","","","","3.5","2.28,1.95","2.28"
"SV1113","GDQP102","L01","ly_thuyet","8.05,8.05","8.05","","","",""
"SV1114","GDTC101","L01","thuc_hanh","","","6.8,9.67,6.8","","",""
"SV1114","INT1003","L01","tich_hop","","","","6.52","0.45,5.94","0.45"
"SV1115","INT1002","L01","ly_thuyet","2.01,2.01","2.01","","","",""
"SV1115","INT1003","L01","tich_hop","","","","8.53","4.41,7.99","4.41"
"SV1115","GDQP102","L01","ly_thuyet","5.54,5.54","5.54","","","",""
"SV1116","GDTC101","L01","thuc_hanh","","","9.08,5.32,9.08","","",""
"SV1116","INT1001","L01","tich_hop","","","","9.23","4.38,5.72","4.38"
"SV1116","INT1002","L01","ly_thuyet","2.52,2.52","2.52","","","",""
